a	Year	Day	HourMinute	Air	Air Pess	Snow Depth	Precip
114	2004	52	2100	7.38	983	6999	1.086
114	2004	52	2200	6.502	986	6999	0.157
114	2004	52	2300	6.358	987	6999	0.141
114	2004	53	0	7.53	988	6999	0
114	2004	53	100	6.727	989	6999	0.423
114	2004	53	200	7.24	991	6999	0
114	2004	53	300	7.38	991	6999	0.235
114	2004	53	400	7.21	992	6999	0.078
114	2004	53	500	7.06	993	6999	0.063
114	2004	53	600	6.465	993	6999	0
114	2004	53	700	6.63	994	6999	0.329
114	2004	53	800	6.271	995	6999	0.423
114	2004	53	900	6.818	995	6999	0
114	2004	53	1000	6.204	996	6999	1.159
114	2004	53	1100	6.262	997	6999	1.394
114	2004	53	1200	6.44	998	6999	0.016
114	2004	53	1300	6.139	999	6999	2.161
114	2004	53	1400	6.604	1000	6999	0.219
114	2004	53	1500	5.79	1001	6999	2.067
114	2004	53	1600	6.493	1001	6999	1.049
114	2004	53	1700	6.975	1002	6999	0.219
114	2004	53	1800	7.68	1003	6999	0.119
114	2004	53	1900	7.06	1003	6999	0
114	2004	53	2000	6.706	1004	6999	0.64
114	2004	53	2100	6.101	1005	6999	0.047
114	2004	53	2200	7.07	1006	6999	0.078
114	2004	53	2300	6.435	1007	6999	0.035
114	2004	54	0	7.72	1007	6999	0
114	2004	54	100	7.61	1008	6999	0.376
114	2004	54	200	7.78	1008	6999	0
114	2004	54	300	7.57	1008	6999	0.204
114	2004	54	400	7.34	1008	6999	0
114	2004	54	500	8.04	1008	6999	0.125
114	2004	54	600	7.34	1008	6999	0
114	2004	54	700	7.04	1008	6999	0.251
114	2004	54	800	7.02	1008	6999	0.298
114	2004	54	900	8.16	1008	6999	0.125
114	2004	54	1000	8.33	1008	6999	0.125
114	2004	54	1100	9.25	1008	6999	0.188
114	2004	54	1200	10.33	1008	6999	0.078
114	2004	54	1300	9.48	1007	6999	0.827
114	2004	54	1400	10	1005	6999	0.563
114	2004	54	1500	9.25	1005	6999	1.227
114	2004	54	1600	9.7	1004	6999	0.492
114	2004	54	1700	9.23	1003	6999	0.72
114	2004	54	1800	8.97	1003	6999	3.225
114	2004	54	1900	9.6	1002	6999	5.839
114	2004	54	2000	8.47	1001	6999	3.929
114	2004	54	2100	9.32	1000	6999	2.779
114	2004	54	2200	8.73	999	6999	4.878
114	2004	54	2300	9.19	999	6999	7.68
114	2004	55	0	8.63	998	6999	6.232
114	2004	55	100	8.38	999	6999	6.247
114	2004	55	200	7.93	1000	6999	1.284
114	2004	55	300	6.905	1000	6999	1.895
114	2004	55	400	6.646	1000	6999	1.91
114	2004	55	500	6.478	1001	6999	2.985
114	2004	55	600	4.862	1002	6999	0
114	2004	55	700	3.963	1002	6999	1.519
114	2004	55	800	4.068	1004	6999	2.707
114	2004	55	900	3.202	1005	6999	1.941
114	2004	55	1000	3.791	1006	6999	2.021
114	2004	55	1100	1.83	1006	6999	3.211
114	2004	55	1200	4.922	1007	6999	1.441
114	2004	55	1300	5.555	1008	6999	0.58
114	2004	55	1400	6.139	1008	6999	0
114	2004	55	1500	5.7	1009	6999	0.288
114	2004	55	1600	5.276	1010	6999	1.608
114	2004	55	1700	8.17	1010	6999	0
114	2004	55	1800	6.676	1010	6999	0.912
114	2004	55	1900	6.798	1011	6999	0
114	2004	55	2000	6.328	1011	6999	0.078
114	2004	55	2100	5.248	1012	6999	0
114	2004	55	2200	5.597	1012	6999	0
114	2004	55	2300	4.876	1013	6999	0.019
114	2004	56	0	4.968	1013	6999	0
114	2004	56	100	5.544	1013	6999	0.013
114	2004	56	200	3.988	1014	6999	0
114	2004	56	300	3.618	1015	6999	0
114	2004	56	400	4.522	1015	6999	0.211
114	2004	56	500	6.229	1015	6999	0
114	2004	56	600	4.156	1015	6999	0
114	2004	56	700	4.555	1015	6999	0
114	2004	56	800	5.599	1015	6999	0.172
114	2004	56	900	6.674	1016	6999	0.188
114	2004	56	1000	9.31	1016	6999	0.063
114	2004	56	1100	9.31	1016	6999	0
114	2004	56	1200	11.24	1016	6999	0.562
114	2004	56	1300	11.69	1016	6999	0.16
114	2004	56	1400	13	1015	6999	0.53
114	2004	56	1500	14.13	1015	6999	0.108
114	2004	56	1600	14.32	1015	6999	0.338
114	2004	56	1700	14.25	1015	6999	0
114	2004	56	1800	13.25	1016	6999	0.269
114	2004	56	1900	10.5	1016	6999	0.304
114	2004	56	2000	10.83	1017	6999	0
114	2004	56	2100	7.91	1017	6999	0
114	2004	56	2200	6.555	1018	6999	0
114	2004	56	2300	5.624	1019	6999	0
114	2004	57	0	5.004	1020	6999	0
114	2004	57	100	4.334	1020	6999	0
114	2004	57	200	3.903	1020	6999	0
114	2004	57	300	3.602	1020	6999	0
114	2004	57	400	3.209	1020	6999	0
114	2004	57	500	2.828	1020	6999	0
114	2004	57	600	2.889	1020	6999	0
114	2004	57	700	2.638	1020	6999	0
114	2004	57	800	2.726	1021	6999	0
114	2004	57	900	3.339	1021	6999	0.248
114	2004	57	1000	10.34	1021	6999	0.486
114	2004	57	1100	12.18	1021	6999	0.157
114	2004	57	1200	13.73	1021	6999	0.568
114	2004	57	1300	14.24	1021	6999	0.343
114	2004	57	1400	14.52	1021	6999	0.43
114	2004	57	1500	15.79	1021	6999	0.258
114	2004	57	1600	15.24	1021	6999	0.036
114	2004	57	1700	14.82	1021	6999	0.208
114	2004	57	1800	14.17	1021	6999	0
114	2004	57	1900	10.98	1022	6999	0.493
114	2004	57	2000	10.02	1022	6999	0
114	2004	57	2100	8.66	1022	6999	0
114	2004	57	2200	8.4	1023	6999	0
114	2004	57	2300	7.13	1023	6999	0
114	2004	58	0	6.575	1022	6999	0
114	2004	58	100	7.26	1022	6999	0
114	2004	58	200	6.879	1021	6999	0
114	2004	58	300	7.2	1021	6999	0
114	2004	58	400	6.382	1021	6999	0
114	2004	58	500	6.383	1021	6999	0
114	2004	58	600	5.685	1021	6999	0
114	2004	58	700	5.17	1021	6999	0
114	2004	58	800	5.392	1020	6999	0
114	2004	58	900	6.978	1020	6999	0.023
114	2004	58	1000	10.92	1020	6999	0.266
114	2004	58	1100	13.16	1019	6999	0.114
114	2004	58	1200	13.92	1019	6999	0.178
114	2004	58	1300	15.09	1018	6999	0.849
114	2004	58	1400	14.14	1018	6999	0.211
114	2004	58	1500	14.1	1018	6999	0.514
114	2004	58	1600	12.34	1017	6999	0.066
114	2004	58	1700	12.03	1017	6999	0
114	2004	58	1800	11.64	1017	6999	0
114	2004	58	1900	11.17	1016	6999	0
114	2004	58	2000	10.55	1016	6999	0
114	2004	58	2100	10.22	1016	6999	0
114	2004	58	2200	10.06	1015	6999	0
114	2004	58	2300	9.83	1015	6999	0.076
114	2004	59	0	9.67	1014	6999	0
114	2004	59	100	9.47	1013	6999	0.977
114	2004	59	200	9.17	1012	6999	0.783
114	2004	59	300	9.04	1011	6999	0.504
114	2004	59	400	8.88	1010	6999	1.561
114	2004	59	500	9.13	1009	6999	0.924
114	2004	59	600	8.97	1008	6999	1.424
114	2004	59	700	8.6	1007	6999	2.896
114	2004	59	800	8.41	1007	6999	4.305
114	2004	59	900	8.33	1006	6999	2.153
114	2004	59	1000	8.35	1005	6999	1.01
114	2004	59	1100	8.52	1004	6999	1.127
114	2004	59	1200	9.25	1003	6999	0.313
114	2004	59	1300	9.22	1002	6999	1.753
114	2004	59	1400	9.09	1001	6999	2.474
114	2004	59	1500	9.79	1000	6999	0.292
114	2004	59	1600	10.65	999	6999	0.481
114	2004	59	1700	10.52	998	6999	0
114	2004	59	1800	10.76	997	6999	0.595
114	2004	59	1900	10.55	997	6999	0.423
114	2004	59	2000	10.32	996	6999	1.847
114	2004	59	2100	10.22	996	6999	1.597
114	2004	59	2200	10.1	996	6999	2.442
114	2004	59	2300	9.97	996	6999	1.017
114	2004	60	0	9.82	996	6999	1.941
114	2004	60	100	9.86	995	6999	2.426
114	2004	60	200	9.79	995	6999	0.657
114	2004	60	300	9.89	995	6999	0.329
114	2004	60	400	9.78	995	6999	1.036
114	2004	60	500	9.64	995	6999	0.809
114	2004	60	600	9.87	995	6999	0.022
114	2004	60	700	9.77	996	6999	0.704
114	2004	60	800	9.74	996	6999	0.535
114	2004	60	900	10.16	997	6999	0.2
114	2004	60	1000	11.03	997	6999	0.042
114	2004	60	1100	13.48	998	6999	0.011
114	2004	60	1200	14.17	998	6999	0.177
114	2004	60	1300	14.31	998	6999	0.267
114	2004	60	1400	15.23	998	6999	0.408
114	2004	60	1500	16.03	998	6999	0.061
114	2004	60	1600	16.42	998	6999	0.376
114	2004	60	1700	18.28	998	6999	0.233
114	2004	60	1800	15.19	999	6999	0.051
114	2004	60	1900	14.59	999	6999	0.496
114	2004	60	2000	13.14	1000	6999	0
114	2004	60	2100	12.33	1000	6999	0
114	2004	60	2200	11.87	1001	6999	0
114	2004	60	2300	11.21	1002	6999	0
114	2004	61	0	10.35	1002	6999	0
114	2004	61	100	9.49	1002	6999	0
114	2004	61	200	9.58	1002	6999	0
114	2004	61	300	9.59	1002	6999	0
114	2004	61	400	9.38	1003	6999	0
114	2004	61	500	8.86	1003	6999	0
114	2004	61	600	8.57	1003	6999	0.046
114	2004	61	700	8.34	1003	6999	0
114	2004	61	800	8.39	1003	6999	0
114	2004	61	900	8.72	1004	6999	0.11
114	2004	61	1000	10.91	1004	6999	0.125
114	2004	61	1100	10.23	1004	6999	0.094
114	2004	61	1200	12.12	1005	6999	0.509
114	2004	61	1300	12.72	1004	6999	0.253
114	2004	61	1400	12.25	1004	6999	0.263
114	2004	61	1500	10.62	1004	6999	0
114	2004	61	1600	11.76	1004	6999	0.141
114	2004	61	1700	11.51	1004	6999	0.219
114	2004	61	1800	11.41	1004	6999	0
114	2004	61	1900	11.35	1004	6999	0.219
114	2004	61	2000	10.98	1004	6999	0
114	2004	61	2100	10.55	1005	6999	1.412
114	2004	61	2200	9.71	1005	6999	1.911
114	2004	61	2300	9.9	1005	6999	5.162
114	2004	62	0	9.85	1006	6999	1.385
114	2004	62	100	9.03	1006	6999	1.393
114	2004	62	200	9.28	1006	6999	0.468
114	2004	62	300	8.7	1006	6999	0.259
114	2004	62	400	8.51	1006	6999	0
114	2004	62	500	8.33	1006	6999	0
114	2004	62	600	8.36	1006	6999	0
114	2004	62	700	8.33	1007	6999	0.12
114	2004	62	800	8.23	1008	6999	0.034
114	2004	62	900	9.06	1009	6999	0.11
114	2004	62	1000	10.33	1010	6999	0.25
114	2004	62	1100	10.93	1011	6999	0.25
114	2004	62	1200	11.6	1011	6999	0.016
114	2004	62	1300	11.96	1011	6999	0.092
114	2004	62	1400	13.32	1012	6999	0
114	2004	62	1500	15.84	1012	6999	0.171
114	2004	62	1600	14.77	1012	6999	0
114	2004	62	1700	13.78	1013	6999	0
114	2004	62	1800	12.51	1013	6999	0.065
114	2004	62	1900	11.63	1013	6999	0.591
114	2004	62	2000	11.11	1014	6999	0
114	2004	62	2100	10.41	1015	6999	0
114	2004	62	2200	9.71	1016	6999	0
114	2004	62	2300	8.52	1017	6999	0
114	2004	63	0	8.63	1017	6999	0.317
114	2004	63	100	7.63	1017	6999	0
114	2004	63	200	7.22	1018	6999	0
114	2004	63	300	6.856	1019	6999	0.186
114	2004	63	400	5.36	1019	6999	0
114	2004	63	500	4.802	1019	6999	0
114	2004	63	600	3.257	1020	6999	0
114	2004	63	700	3.086	1020	6999	0.012
114	2004	63	800	2.863	1021	6999	0
114	2004	63	900	3.389	1022	6999	0
114	2004	63	1000	8.56	1022	6999	0.338
114	2004	63	1100	9.43	1022	6999	0.23
114	2004	63	1200	11.34	1023	6999	0.424
114	2004	63	1300	12.86	1023	6999	0.603
114	2004	63	1400	14.62	1023	6999	0.252
114	2004	63	1500	15.86	1023	6999	0
114	2004	63	1600	17.31	1022	6999	0.51
114	2004	63	1700	17.13	1022	6999	0.128
114	2004	63	1800	16.48	1022	6999	0
114	2004	63	1900	14.36	1023	6999	0.358
114	2004	63	2000	13.63	1023	6999	0
114	2004	63	2100	10.75	1024	6999	0
114	2004	63	2200	10.25	1025	6999	0
114	2004	63	2300	9.05	1025	6999	0
114	2004	64	0	8.64	1025	6999	0
114	2004	64	100	9.24	1026	6999	0
114	2004	64	200	8.35	1025	6999	0
114	2004	64	300	8.38	1025	6999	0
114	2004	64	400	7.74	1025	6999	0
114	2004	64	500	8.48	1025	6999	0
114	2004	64	600	8.93	1025	6999	0
114	2004	64	700	8.77	1025	6999	0.002
114	2004	64	800	8.38	1025	6999	0
114	2004	64	900	8.23	1026	6999	0.141
114	2004	64	1000	15.41	1026	6999	0.219
114	2004	64	1100	16.44	1026	6999	11.73
114	2004	64	1200	17.36	1026	6999	0
114	2004	64	1300	18.03	1026	6999	0.237
114	2004	64	1400	18.4	1025	6999	13.18
114	2004	64	1500	18.55	1025	6999	0
114	2004	64	1600	18.23	1024	6999	0.304
114	2004	64	1700	18.7	1024	6999	0.177
114	2004	64	1800	15.58	1025	6999	0
114	2004	64	1900	12.91	1025	6999	0.274
114	2004	64	2000	12.12	1025	6999	0
114	2004	64	2100	10.76	1025	6999	0
114	2004	64	2200	10.86	1025	6999	0
114	2004	64	2300	10.45	1025	6999	0
114	2004	65	0	9.87	1024	6999	0
114	2004	65	100	9.45	1024	6999	0
114	2004	65	200	8.99	1024	6999	0
114	2004	65	300	9.23	1024	6999	0
114	2004	65	400	8.43	1023	6999	0
114	2004	65	500	8.62	1023	6999	0
114	2004	65	600	8.17	1022	6999	0
114	2004	65	700	7.61	1022	6999	0
114	2004	65	800	8.11	1022	6999	0.069
114	2004	65	900	7.89	1022	6999	0
114	2004	65	1100	9.91	1023	6999	0.218
114	2004	65	1200	11.05	1023	6999	0.26
114	2004	65	1300	13.64	1022	6999	0
114	2004	65	1400	11.68	1022	6999	0.12
114	2004	65	1500	11.35	1021	6999	0
114	2004	65	1600	11.51	1021	6999	0.235
114	2004	65	1700	11.01	1021	6999	0.513
114	2004	65	1800	10.33	1020	6999	0
114	2004	65	1900	10.95	1020	6999	0
114	2004	65	2000	10.35	1019	6999	0
114	2004	65	2100	10.45	1019	6999	0
114	2004	65	2200	10.54	1019	6999	0.596
114	2004	65	2300	10.6	1019	6999	0
114	2004	66	0	10.44	1018	6999	0.893
114	2004	66	100	10.79	1018	6999	1.096
114	2004	66	200	10.84	1017	6999	1.377
114	2004	66	300	10.94	1018	6999	0.712
114	2004	66	400	11.47	1017	6999	1.409
114	2004	66	500	11.46	1017	6999	1.033
114	2004	66	600	11.55	1017	6999	0.877
114	2004	66	700	11.59	1017	6999	0.532
114	2004	66	800	12	1018	6999	0.125
114	2004	66	900	11.76	1018	6999	0.125
114	2004	66	1000	13.7	1018	6999	0.297
114	2004	66	1100	13.15	1019	6999	0.006
114	2004	66	1200	12.07	1019	6999	0.675
114	2004	66	1300	13.85	1019	6999	0
114	2004	66	1400	15.07	1019	6999	0.244
114	2004	66	1500	16.04	1019	6999	0
114	2004	66	1600	15.32	1019	6999	0.653
114	2004	66	1700	13.87	1019	6999	0.16
114	2004	66	1800	13.95	1019	6999	0
114	2004	66	1900	12.39	1019	6999	0
114	2004	66	2000	12.07	1019	6999	0.031
114	2004	66	2100	11.71	1019	6999	0
114	2004	66	2200	11.19	1020	6999	0
114	2004	66	2300	11.96	1020	6999	0
114	2004	67	0	10.73	1020	6999	0
114	2004	67	100	12.54	1020	6999	0
114	2004	67	200	10.39	1020	6999	0
114	2004	67	300	11.98	1020	6999	0.107
114	2004	67	400	11.64	1021	6999	0.096
114	2004	67	500	11.7	1021	6999	0
114	2004	67	600	10.65	1021	6999	0.156
114	2004	67	700	10.37	1021	6999	0
114	2004	67	800	9.77	1022	6999	0
114	2004	67	900	10.03	1022	6999	0
114	2004	67	1000	10.09	1022	6999	0.125
114	2004	67	1100	10.76	1022	6999	0.044
114	2004	67	1200	10.67	1023	6999	0.2
114	2004	67	1300	11.12	1022	6999	0
114	2004	67	1400	10.79	1023	6999	0.235
114	2004	67	1500	11.09	1023	6999	0.11
114	2004	67	1600	11.3	1022	6999	0
114	2004	67	1700	11.06	1022	6999	0.141
114	2004	67	1800	11.06	1022	6999	0.047
114	2004	67	1900	11.12	1022	6999	0
114	2004	67	2000	13.38	1022	6999	0.219
114	2004	67	2100	13.62	1022	6999	0.156
114	2004	67	2200	12.08	1023	6999	0
114	2004	67	2300	12.24	1023	6999	0.031
114	2004	68	0	11.32	1023	6999	0
114	2004	68	100	12.2	1023	6999	0
114	2004	68	200	11.32	1023	6999	0
114	2004	68	300	11.15	1023	6999	0
114	2004	68	400	11.01	1022	6999	0
114	2004	68	500	10.95	1023	6999	0
114	2004	68	600	10.7	1022	6999	0
114	2004	68	700	10.41	1022	6999	0
114	2004	68	800	12.42	1022	6999	0.116
114	2004	68	900	12.64	1023	6999	0.213
114	2004	68	1000	14.18	1022	6999	0
114	2004	68	1100	13.78	1022	6999	0.361
114	2004	68	1200	14.59	1022	6999	0
114	2004	68	1300	14.41	1022	6999	0.201
114	2004	68	1400	14.16	1021	6999	0.146
114	2004	68	1500	14.3	1021	6999	0
114	2004	68	1600	14.91	1020	6999	0
114	2004	68	1700	14.83	1019	6999	0.016
114	2004	68	1800	14.71	1019	6999	0
114	2004	68	1900	13.79	1019	6999	0.094
114	2004	68	2000	14.31	1019	6999	0
114	2004	68	2100	13.28	1018	6999	0
114	2004	68	2200	14.45	1018	6999	0
114	2004	68	2300	14.03	1018	6999	0
114	2004	69	0	13.76	1018	6999	0
114	2004	69	100	13.57	1018	6999	0.266
114	2004	69	200	13.78	1016	6999	0
114	2004	69	300	12.97	1016	6999	0
114	2004	69	400	13.07	1016	6999	0
114	2004	69	500	11.61	1016	6999	0
114	2004	69	600	11.08	1016	6999	0.045
114	2004	69	700	11.29	1015	6999	0.103
114	2004	69	800	11.4	1015	6999	0.579
114	2004	69	900	11.65	1015	6999	0.454
114	2004	69	1000	11.34	1015	6999	0.485
114	2004	69	1100	11.37	1015	6999	0.513
114	2004	69	1200	11.68	1014	6999	0.07
114	2004	69	1300	12.64	1014	6999	0.562
114	2004	69	1400	13.03	1014	6999	1.078
114	2004	69	1500	13.17	1013	6999	0.892
114	2004	69	1600	14.27	1013	6999	0.548
114	2004	69	1700	13.94	1012	6999	0.188
114	2004	69	1800	13.51	1011	6999	0.963
114	2004	69	1900	13.37	1011	6999	0.856
114	2004	69	2000	13.23	1011	6999	1.698
114	2004	69	2100	12.94	1010	6999	2.986
114	2004	69	2200	12.02	1010	6999	2.239
114	2004	69	2300	13.88	1009	6999	5.154
114	2004	70	0	15.78	1009	6999	2.911
114	2004	70	100	14.42	1007	6999	4.992
114	2004	70	200	15.45	1007	6999	6.495
114	2004	70	300	15.45	1006	6999	0.863
114	2004	70	400	15.43	1004	6999	1.463
114	2004	70	500	15.37	1002	6999	0
114	2004	70	600	14.43	1002	6999	7.64
114	2004	70	700	13.37	1001	6999	20.65
114	2004	70	800	14.44	1001	6999	25.58
114	2004	70	900	14.33	1000	6999	18.75
114	2004	70	1000	14.91	999	6999	21.55
114	2004	70	1100	14.73	998	6999	17.46
114	2004	70	1200	15.33	995	6999	13.13
114	2004	70	1300	15.49	997	6999	18.81
114	2004	70	1400	15.9	995	6999	11.3
114	2004	70	1500	15.83	993	6999	1.674
114	2004	70	1600	13.01	994	6999	0.219
114	2004	70	1700	11.23	995	6999	6.634
114	2004	70	1800	9.42	994	6999	1.271
114	2004	70	1900	9.13	995	6999	3.778
114	2004	70	2000	8.44	995	6999	3.18
114	2004	70	2100	7.95	996	6999	2.028
114	2004	70	2200	6.633	997	6999	2.294
114	2004	70	2300	6.449	997	6999	2.289
114	2004	71	0	6.552	998	6999	0.986
114	2004	71	100	6.934	999	6999	0.534
114	2004	71	200	6.421	1000	6999	0.324
114	2004	71	300	5.967	1001	6999	0.047
114	2004	71	400	5.924	1002	6999	0
114	2004	71	500	5.928	1003	6999	0.345
114	2004	71	600	6.618	1003	6999	0
114	2004	71	700	6.351	1004	6999	0.329
114	2004	71	800	6.579	1005	6999	0.157
114	2004	71	900	6.808	1006	6999	0.031
114	2004	71	1000	7.33	1007	6999	0.156
114	2004	71	1100	9.7	1008	6999	0.298
114	2004	71	1200	12.38	1008	6999	0
114	2004	71	1300	11.62	1009	6999	0.051
114	2004	71	1400	12.09	1009	6999	0.408
114	2004	71	1500	10.68	1009	6999	0.177
114	2004	71	1600	10.38	1009	6999	0.131
114	2004	71	1700	9.76	1010	6999	0.327
114	2004	71	1800	9.5	1010	6999	0
114	2004	71	1900	8.46	1011	6999	0
114	2004	71	2000	9.01	1011	6999	0
114	2004	71	2100	7.72	1012	6999	0.023
114	2004	71	2200	6.866	1012	6999	0
114	2004	71	2300	6.664	1013	6999	0
114	2004	72	0	6.339	1013	6999	0.007
114	2004	72	100	6.113	1013	6999	0.011
114	2004	72	200	5.848	1014	6999	0
114	2004	72	300	5.333	1014	6999	0
114	2004	72	400	5.011	1015	6999	0.028
114	2004	72	500	4.696	1015	6999	0
114	2004	72	600	4.146	1015	6999	0
114	2004	72	700	3.779	1015	6999	0
114	2004	72	800	3.891	1016	6999	0
114	2004	72	900	3.896	1016	6999	0.014
114	2004	72	1000	9.52	1017	6999	0
114	2004	72	1100	10.47	1018	6999	0.134
114	2004	72	1200	12.06	1017	6999	0.456
114	2004	72	1300	13.21	1018	6999	0.209
114	2004	72	1400	13.98	1018	6999	0
114	2004	72	1500	11.74	1019	6999	0
114	2004	72	1600	12.86	1019	6999	0
114	2004	72	1700	12.12	1019	6999	0.103
114	2004	72	1800	11.48	1019	6999	0
114	2004	72	1900	9.2	1019	6999	0.078
114	2004	72	2000	8.17	1020	6999	0
114	2004	72	2100	7.5	1020	6999	0
114	2004	72	2200	7.34	1020	6999	0
114	2004	72	2300	6.586	1020	6999	0
114	2004	73	0	6.44	1021	6999	0
114	2004	73	100	6.163	1021	6999	0
114	2004	73	200	5.907	1021	6999	0
114	2004	73	300	5.375	1020	6999	0
114	2004	73	400	5.221	1021	6999	0.001
114	2004	73	500	5.203	1020	6999	0
114	2004	73	600	7.1	1020	6999	0
114	2004	73	700	7.43	1020	6999	0
114	2004	73	800	7.37	1021	6999	0.218
114	2004	73	900	7.5	1021	6999	0.298
114	2004	73	1000	8.57	1021	6999	0
114	2004	73	1100	8.51	1021	6999	0.475
114	2004	73	1200	8.92	1021	6999	0
114	2004	73	1300	9.05	1021	6999	0
114	2004	73	1400	9.01	1021	6999	0.119
114	2004	73	1500	8.68	1020	6999	0.359
114	2004	73	1600	8.91	1020	6999	0
114	2004	73	1700	9.09	1020	6999	0.391
114	2004	73	1800	8.73	1020	6999	0
114	2004	73	1900	9.09	1020	6999	0.094
114	2004	73	2000	9.31	1020	6999	0.232
114	2004	73	2100	9.16	1019	6999	0.244
114	2004	73	2200	7.9	1020	6999	0.001
114	2004	73	2300	8.13	1019	6999	0.517
114	2004	74	0	7.78	1019	6999	0.939
114	2004	74	100	7.87	1019	6999	2.348
114	2004	74	200	8.68	1018	6999	2.035
114	2004	74	300	7.8	1018	6999	2.693
114	2004	74	400	8.24	1018	6999	3.757
114	2004	74	500	10.23	1018	6999	2.207
114	2004	74	600	9.02	1017	6999	5.088
114	2004	74	700	8.37	1017	6999	3.616
114	2004	74	800	8.45	1018	6999	3.1
114	2004	74	900	8.61	1018	6999	2.176
114	2004	74	1000	9.28	1018	6999	0.861
114	2004	74	1100	9.46	1019	6999	0.125
114	2004	74	1200	9.69	1019	6999	0.063
114	2004	74	1300	10.02	1019	6999	0.297
114	2004	74	1400	11.15	1019	6999	0.094
114	2004	74	1500	12.82	1019	6999	0.084
114	2004	74	1600	13.12	1018	6999	0.06
114	2004	74	1700	12.85	1018	6999	0.298
114	2004	74	1800	12.4	1018	6999	0.096
114	2004	74	1900	11.95	1018	6999	0
114	2004	74	2000	11.89	1019	6999	0.063
114	2004	74	2100	11.24	1019	6999	0
114	2004	74	2200	9.8	1020	6999	0
114	2004	74	2300	9.71	1020	6999	0
114	2004	75	0	8.99	1020	6999	0
114	2004	75	100	10.79	1019	6999	0
114	2004	75	200	10.65	1019	6999	0.063
114	2004	75	300	10.54	1020	6999	0.046
114	2004	75	400	8.12	1019	6999	0
114	2004	75	500	7.68	1019	6999	0
114	2004	75	600	7	1019	6999	0
114	2004	75	700	6.86	1019	6999	0
114	2004	75	800	6.406	1019	6999	0
114	2004	75	900	7.62	1019	6999	0.113
114	2004	75	1000	10.91	1019	6999	0
114	2004	75	1100	13.24	1019	6999	0.12
114	2004	75	1200	12.94	1018	6999	0.08
114	2004	75	1300	13.05	1018	6999	0.619
114	2004	75	1400	13.85	1018	6999	0.236
114	2004	75	1500	14.25	1017	6999	0.198
114	2004	75	1600	14.56	1017	6999	0.047
114	2004	75	1700	13.76	1016	6999	0
114	2004	75	1800	12.97	1016	6999	0
114	2004	75	1900	12.8	1016	6999	0
114	2004	75	2000	12.04	1016	6999	0
114	2004	75	2100	11.08	1016	6999	0
114	2004	75	2200	9.91	1016	6999	0.313
114	2004	75	2300	9.52	1016	6999	0
114	2004	76	0	9.26	1015	6999	2.209
114	2004	76	100	9.05	1015	6999	4.054
114	2004	76	200	8.94	1014	6999	4.074
114	2004	76	300	8.74	1014	6999	3.812
114	2004	76	400	9.19	1013	6999	2.097
114	2004	76	500	11.65	1012	6999	2.129
